Row.ID,Order.ID,Customer.Name,Order.Date,Order.Priority,Order.Quantity,Sales,Discount,Ship.Mode,Profit,Unit.Price,Shipping.Cost,Region,Customer.Segment,Product.Category,Product.Container,Product.Base.Margin,Ship.Date,Return.Status
1,3,Muhammed MacIntyre,13-10-2010,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35,Nunavut,Small Business,Office Supplies,Large Box,0.8,20-10-2010,0
2,293,Barry French,01-10-2012,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Nunavut,Consumer,Office Supplies,Jumbo Drum,0.58,02-10-2012,0
3,483,Clay Rozendal,10-07-2011,High,30,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,Nunavut,Corporate,Technology,Small Box,0.58,12-07-2011,0
4,515,Carlos Soltero,28-08-2010,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Nunavut,Consumer,Office Supplies,Medium Box,0.5,30-08-2010,0
5,613,Carl Jackson,17-06-2011,High,12,93.54,0.03,Regular Air,-54.04,7.3,7.72,Nunavut,Corporate,Office Supplies,Small Box,0.38,17-06-2011,0
6,643,Monica Federle,24-03-2011,High,21,2781.82,0.07,Express Air,-695.26,138.14,35,Nunavut,Corporate,Office Supplies,Large Box,0.36,25-03-2011,0
7,678,Dorothy Badders,26-02-2010,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Nunavut,Home Office,Office Supplies,Small Box,0.38,26-02-2010,1
8,807,Neola Schneider,23-11-2010,Medium,45,196.85,0.01,Regular Air,-166.85,4.28,6.18,Nunavut,Home Office,Office Supplies,Small Box,0.4,24-11-2010,0
9,868,Carlos Daly,08-06-2012,Not Specified,32,716.84,0,Regular Air,134.72,21.78,5.94,Nunavut,Home Office,Office Supplies,Medium Box,0.5,09-06-2012,0
10,933,Claudia Miner,04-08-2012,Not Specified,15,80.61,0.02,Regular Air,-4.72,5.28,2.99,Nunavut,Small Business,Office Supplies,Small Box,0.37,04-08-2012,0
