Order.Quantity,Sales,Discount,Profit,Unit.Price,Shipping.Cost,Product.Base.Margin,Customer.Name,Customer.Segment,Product.Category,Region,Order.Priority,Ship.Mode,Product.Container,Days_to_Ship,Order_Quarter,Order_Month,Order_Weekday,Order_Day,Ship_Month,Ship_Weekday,Ship_Day,Order_Day_cat,Ship_Day_cat
6,261.540000,0.040000,-213.250000,38.940000,35.000000,0.800000,Muhammed MacIntyre,Small Business,Office Supplies,Nunavut,Low,Regular Air,Large Box,7,4,10,2,13,10,2,20,13,20
49,10123.020000,0.070000,457.810000,208.160000,68.020000,0.580000,Barry French,Consumer,Office Supplies,Nunavut,High,Delivery Truck,Jumbo Drum,31,1,1,1,10,2,4,10,10,10
30,4965.759500,0.080000,1198.970000,195.990000,3.990000,0.580000,Clay Rozendal,Corporate,Technology,Nunavut,High,Regular Air,Small Box,61,4,10,4,7,12,2,7,7,7
19,394.270000,0.080000,30.940000,21.780000,5.940000,0.500000,Carlos Soltero,Consumer,Office Supplies,Nunavut,Not Specified,Regular Air,Medium Box,2,3,8,5,28,8,0,30,28,30
12,93.540000,0.030000,-54.040000,7.300000,7.720000,0.380000,Carl Jackson,Corporate,Office Supplies,Nunavut,High,Regular Air,Small Box,0,2,6,4,17,6,4,17,17,17
21,2781.820000,0.070000,-695.260000,138.140000,35.000000,0.360000,Monica Federle,Corporate,Office Supplies,Nunavut,High,Express Air,Large Box,1,1,3,3,24,3,4,25,24,25
44,228.410000,0.070000,-226.360000,4.980000,8.330000,0.380000,Dorothy Badders,Home Office,Office Supplies,Nunavut,Low,Regular Air,Small Box,0,1,2,4,26,2,4,26,26,26
45,196.850000,0.010000,-166.850000,4.280000,6.180000,0.400000,Neola Schneider,Home Office,Office Supplies,Nunavut,Medium,Regular Air,Small Box,1,4,11,1,23,11,2,24,23,24
32,716.840000,0.000000,134.720000,21.780000,5.940000,0.500000,Carlos Daly,Home Office,Office Supplies,Nunavut,Not Specified,Regular Air,Medium Box,31,3,8,0,6,9,3,6,6,6
15,80.610000,0.020000,-4.720000,5.280000,2.990000,0.370000,Claudia Miner,Small Business,Office Supplies,Nunavut,Not Specified,Regular Air,Small Box,0,2,4,6,8,4,6,8,8,8
46,1815.490000,0.030000,782.910000,39.890000,3.040000,0.530000,Neola Schneider,Home Office,Furniture,Nunavut,Medium,Regular Air,Wrap Bag,1,2,5,0,30,5,1,31,30,31
16,248.260000,0.070000,93.800000,15.740000,1.390000,0.400000,Allen Rosenblatt,Small Business,Office Supplies,Nunavut,Not Specified,Regular Air,Small Box,1,4,11,2,25,11,3,26,25,26
44,4462.230000,0.040000,440.720000,100.980000,26.220000,0.600000,Sylvia Foulston,Home Office,Furniture,Nunavut,Critical,Delivery Truck,Jumbo Box,2,1,2,1,14,2,3,16,14,16
15,834.904000,0.060000,-11.680000,65.990000,5.260000,0.590000,Jim Radford,Corporate,Technology,Nunavut,Low,Regular Air,Small Box,7,2,4,6,15,4,6,22,15,22
13,59.030000,0.100000,26.920000,3.690000,0.500000,0.380000,Carlos Soltero,Consumer,Office Supplies,Nunavut,Not Specified,Express Air,Small Box,-264,4,12,4,3,3,6,14,3,14
33,511.830000,0.100000,-172.880000,15.990000,13.180000,0.370000,Carl Ludwig,Corporate,Office Supplies,Nunavut,Low,Regular Air,Small Box,61,3,9,5,3,11,3,3,3,3
30,80.900000,0.090000,5.760000,2.880000,0.700000,0.560000,Don Miller,Home Office,Office Supplies,Nunavut,High,Regular Air,Wrap Bag,61,2,4,6,8,6,4,8,8,8
23,67.240000,0.060000,4.900000,2.840000,0.930000,0.540000,Annie Cyprus,Home Office,Office Supplies,Nunavut,High,Regular Air,Wrap Bag,30,2,6,6,5,7,1,5,5,5
25,12028.230000,0.010000,-547.610000,449.990000,49.000000,0.380000,Carl Ludwig,Corporate,Technology,Nunavut,High,Delivery Truck,Jumbo Drum,2,4,12,3,23,12,5,25,23,25
28,370.480000,0.040000,-5.450000,13.480000,4.510000,0.590000,Carlos Soltero,Consumer,Office Supplies,Nunavut,Low,Regular Air,Small Box,94,3,8,2,11,11,5,13,11,13
49,278.000000,0.080000,41.670000,6.080000,1.170000,0.560000,Grant Carroll,Small Business,Office Supplies,Nunavut,Not Specified,Regular Air,Wrap Bag,1,4,10,6,21,10,0,22,21,22
10,66.540000,0.010000,-46.030000,5.980000,4.380000,0.750000,Don Miller,Home Office,Technology,Nunavut,Not Specified,Regular Air,Small Pack,31,1,1,5,1,2,1,1,1,1
39,282.070000,0.030000,140.010000,7.310000,0.490000,0.380000,Alan Barnes,Corporate,Office Supplies,Nunavut,High,Regular Air,Small Box,31,4,10,0,10,11,3,10,10,10
27,1078.490000,0.080000,252.660000,40.960000,1.990000,0.550000,Jack Garza,Corporate,Technology,Nunavut,Low,Regular Air,Small Pack,2,3,9,3,23,9,5,25,23,25
39,3554.460000,0.070000,-1766.010000,95.950000,74.350000,0.570000,Julia West,Corporate,Furniture,Nunavut,Critical,Delivery Truck,Jumbo Drum,0,3,7,1,19,7,1,19,19,19
